,pandemic,covid,covid-19,coronavirus,cases,cdc,fauci,recession,crisis,deaths,restrictions,lockdown,vaccine,vaccines,travel,stimulus,variant,pfizer
2017-05-11,80,0,0,0,86,84,0,72,83,74,86,48,86,83,87,49,90,64
2017-05-12,68,0,0,0,84,63,0,68,74,63,79,60,67,79,81,45,79,56
2017-05-13,38,0,0,0,76,42,0,22,47,61,55,47,52,45,75,14,56,22
2017-05-14,55,0,0,0,75,36,0,56,48,72,70,35,56,44,80,40,34,30
2017-05-15,37,0,0,36,88,70,0,59,82,90,73,50,83,76,94,61,70,88
2017-05-16,52,0,0,37,89,76,82,70,73,69,73,45,100,68,95,31,91,100
2017-05-17,56,0,0,36,77,85,0,54,70,69,86,68,89,75,87,52,62,64
2017-05-18,75,0,0,37,69,90,41,79,75,87,72,100,94,62,80,22,48,90
2017-05-19,48,0,0,0,68,62,0,49,62,69,67,61,66,60,81,19,69,60
2017-05-20,23,0,0,44,79,36,0,42,37,68,56,26,44,43,81,19,29,31
2017-05-21,57,0,0,0,71,32,100,31,59,67,79,23,45,62,88,15,41,4
2017-05-22,55,0,0,0,80,76,40,62,75,85,66,31,85,65,95,36,52,54
2017-05-23,49,0,0,35,77,58,0,52,81,100,84,49,86,59,95,53,41,61
2017-05-24,37,0,0,73,77,91,0,69,78,76,68,51,67,72,92,37,43,51
2017-05-25,23,0,0,36,70,72,0,82,70,80,72,44,77,63,91,37,85,57
2017-05-26,50,0,0,0,69,65,0,51,55,65,64,48,77,65,86,30,51,52
2017-05-27,29,0,0,0,79,41,0,44,48,82,100,27,59,49,80,19,42,20
2017-05-28,65,0,0,0,61,36,52,16,45,86,73,32,34,37,85,12,54,28
2017-05-29,77,0,0,0,75,35,0,30,56,84,94,35,62,41,94,47,45,38
2017-05-30,51,0,0,0,82,82,0,34,71,82,65,52,84,59,97,27,52,35
2017-05-31,36,0,0,35,70,65,0,46,65,76,92,92,78,56,89,41,37,40
2017-06-01,62,0,0,0,88,100,0,49,97,66,76,55,84,63,73,56,74,57
2017-06-02,75,0,0,28,85,69,52,75,82,68,72,62,88,69,70,46,88,55
2017-06-03,29,0,0,0,82,40,0,52,62,83,85,40,61,55,69,36,48,23
2017-06-04,94,0,0,65,87,38,59,57,61,82,92,62,61,56,75,53,47,15
2017-06-05,77,0,0,79,80,74,0,75,91,76,81,40,80,81,84,63,55,73
2017-06-06,64,0,0,0,83,81,0,97,100,100,88,100,78,67,80,48,98,78
2017-06-07,42,0,0,27,100,93,0,80,94,76,67,59,79,61,70,54,61,95
2017-06-08,55,0,0,0,90,91,0,96,86,75,67,52,83,59,72,75,96,100
2017-06-09,50,0,0,28,77,73,0,50,76,69,83,48,69,44,72,41,47,84
2017-06-10,44,0,0,0,87,31,0,58,62,85,59,26,54,49,66,12,61,38
2017-06-11,74,0,0,33,81,47,0,59,70,92,81,37,53,36,67,24,48,38
2017-06-12,48,0,0,27,83,90,0,38,81,71,89,48,97,72,80,59,89,58
2017-06-13,47,100,0,0,91,68,0,51,86,71,100,66,93,63,69,48,33,60
2017-06-14,18,0,0,0,82,78,0,100,94,96,84,65,79,68,71,49,89,77
2017-06-15,100,0,0,28,80,71,51,54,89,76,80,62,89,80,69,41,70,64
2017-06-16,31,0,0,0,80,78,0,64,61,74,93,53,85,77,70,46,29,48
2017-06-17,74,0,0,0,81,54,60,12,51,100,91,36,69,47,64,24,48,11
2017-06-18,52,0,0,100,83,32,0,47,61,79,94,64,50,60,70,31,62,31
2017-06-19,95,0,0,27,88,78,49,47,75,90,76,51,91,61,81,69,61,86
2017-06-20,87,0,0,26,100,71,0,73,79,91,83,55,100,79,80,52,86,62
2017-06-21,64,0,0,0,85,87,48,65,73,88,88,42,91,74,76,38,27,81
2017-06-22,58,0,0,26,86,73,0,74,67,76,91,52,84,72,73,38,43,60
2017-06-23,54,0,0,27,79,81,0,66,75,67,83,40,77,55,78,15,100,80
2017-06-24,63,0,0,31,89,41,0,67,54,76,75,47,71,49,71,35,26,22
2017-06-25,95,0,0,0,83,49,0,52,70,78,92,33,52,49,77,24,54,19
2017-06-26,55,0,0,0,85,76,100,63,82,87,97,49,93,77,100,40,85,82
2017-06-27,31,0,0,0,81,96,0,64,64,75,92,67,91,86,91,51,63,51
2017-06-28,64,0,0,0,89,96,0,61,76,70,87,61,88,100,76,47,95,60
2017-06-29,26,0,0,0,81,83,0,76,71,76,93,69,90,67,81,100,30,66
2017-06-30,46,0,0,59,83,73,0,78,75,71,85,35,75,60,77,38,30,51
2017-07-01,60,0,0,97,81,42,29,50,70,92,74,52,57,30,77,63,31,28
2017-07-02,90,0,0,0,87,28,0,58,90,73,80,98,52,55,87,56,45,59
2017-07-03,100,0,0,0,81,67,0,42,94,81,72,79,72,54,86,85,46,30
2017-07-04,54,0,0,98,80,41,0,34,76,86,99,43,46,39,86,46,37,41
2017-07-05,36,0,0,0,93,66,0,55,89,94,91,64,86,71,88,49,66,58
2017-07-06,23,0,0,0,85,89,0,71,86,73,76,92,80,90,92,100,63,79
2017-07-07,41,0,0,84,75,89,0,97,100,81,90,49,87,81,88,47,32,63
2017-07-08,73,0,0,96,84,46,0,66,86,68,76,42,48,67,84,54,43,28
2017-07-09,61,0,0,98,100,53,59,51,76,78,79,100,57,60,100,91,50,33
2017-07-10,80,0,0,0,85,85,0,43,86,78,71,97,74,62,99,15,53,72
2017-07-11,68,0,0,83,91,100,0,81,99,82,64,80,77,94,93,31,31,62
2017-07-12,40,0,0,0,93,87,0,71,98,65,84,60,88,63,88,69,58,75
2017-07-13,23,0,0,0,84,78,0,44,98,74,86,41,84,83,80,47,53,91
2017-07-14,46,0,0,0,85,65,0,82,92,81,84,65,84,38,82,62,26,35
2017-07-15,13,0,0,0,91,37,0,73,69,82,80,28,58,53,82,27,49,20
2017-07-16,76,0,0,100,87,32,0,75,93,78,74,53,57,39,87,28,38,17
2017-07-17,57,0,0,0,88,93,0,38,92,95,76,48,86,78,83,23,58,59
2017-07-18,35,0,0,0,88,94,0,68,83,74,64,41,83,81,94,86,21,80
2017-07-19,46,0,0,0,91,78,0,77,98,68,89,32,96,91,93,78,90,62
2017-07-20,34,0,0,82,98,76,0,47,98,100,81,20,90,63,86,61,47,96
2017-07-21,41,0,0,85,92,70,25,39,93,86,100,66,84,65,83,55,48,53
2017-07-22,33,0,0,0,93,32,0,50,69,87,83,74,61,63,80,45,30,28
2017-07-23,93,0,0,0,91,47,0,17,74,99,84,47,70,40,81,72,43,44
2017-07-24,39,0,0,0,92,79,74,66,95,94,91,64,84,81,93,46,42,37
2017-07-25,74,0,0,0,86,94,100,48,91,83,83,60,81,100,85,70,100,100
